Prenume
Ada
Adela
Adelaida
Adelina
Adina
Adriana
Adnana
Agata
Agafia
Aglaia
Agripina
Aida
Ala
Alberta
Albertina
Alexandra
Alexandrina
Alexia
Alice
Alida
Alina
Alis
Alma
Alvina
Amalia
Amanda
Amelia
Ana
Anabela
Anaida
Anamaria
Anastasia
Anca
Ancuța
Anda
Andra
Andrada
Andreea
Anemona
Aneta
Angela
Angelica
Anghelina
Anica
Anișoara
Antoaneta
Antonela
Antonia
Antonina
Anuța
Ariadna
Ariana
Arina
Aristița
Arghira@
Arlette
Artemisa
Artemiza
Astrid
Atena
Augusta
Augustina
Aura
Aurelia
Aureliana
Aurica
Aurora
Axenia
Beatrice
Betina
Bianca
Blanduzia
Bogdana
Brândușa
Brigitta
Camelia
Carina
Carla
Carmen
Carmina
Carol
Carolina
Casandra
Casiana
Caterina
Catinca
Catrina
Catrinel
Cătălina
Cecilia
Cella
Celia
Cerasela
Cezara
Chira
Chirița
Cipriana
Clara
Clarisa
Claudia
Clementina
Cleopatra
Clotilda
Codrina
Codruța
Constanța
Constantina
Consuela
Coralia
Corina
Cornelia
Cosmina
Crenguța
Crina
Cristina
Daciana
Dafina
Daiana
Dalia
Dana
Daniela
Daria
Dariana
Delia
Demetra
Denisa
Despina
Diana
Dida
Didina
Dimitrina
Dina
Dochia
Doina
Domnica
Dora
Doriana
Dorina
Dorli
Draga
Dumbrăvița
Dumitra
Dumitrana
Dumitrița
Ecaterina
Eftimia
Elena
Eleonora
Eliana
Elisabeta
Elisaveta
Elisa
Eliza
Elodia
Elpis
Elvira
Emanuela
Emilia
Erica
Estera
Eufrosina
Eugenia
Eusebia
Eva
Evanghelina
Evdochia
Evelina
Fabia
Fabiana
Fausta
Felicia
Fenareta
Filofteia
Filomela
Fiona
Fivi
Flavia
Floare
Floarea
Flora
Florența
Florentina
Floriana
Florica
Florina
Francesca
Frusina
Gabriela
Geanina
Gențiana
Georgeta
Georgia
Georgiana
Geta
Gherghina
Gianina
Gina
Giorgiana
Gizela
Gloria
Glorița
Grațiana
Grațiela
Haricleea
Harieta
Henrieta
Heracleea
Hermiona
Hortensia
Iasmina
Ica
Ilaria
Ileana
Ilinca
Ilona
Ina
Ioana
Ioanina
Iolanda
Ionela
Ionelia
Ionuța
Iosefina
Iridenta
Iridienta
Irina
Iris
Irma
Isabela
Isadora
Isaura
Iudita
Iulia
Iuliana
Iustina
Ivana
Ivona
Izabela
Izaura
Jana
Janeta
Janina
Jasmina
Jeana
Jeanine
Jeny
Joița
Josefina
Julia
Julieta
Laurita
Laura
Laurenția
Lavinia
Lăcrămioara
Leana
Lelia
Leny
Leontina
Leopoldina
Letiția
Lenuța
Lia
Liana
Lidia
Ligia
Lili
Liliana
Lioara
Liuba
Livia
Loredana
Lorelei
Lorena
Luana
Lucia
Luciana
Lucreția
Ludmila
Ludovica
Luiza
Luminița
Magdalena
Maia
Malvina
Manuela
Mara
Marcela
Marcheta
Marga
Margareta
Maria
Mariana
Maricica
Marieta
Marilena
Marina
Marinela
Marioara
Marta
Martina
Marusia
Matilda
Mădălina
Mălina
Mărioara
Măriuca
Melania
Melina
Melinda
Melisa
Mia
Mihaela
Mila
Milena
Milița
Minodora
Mioara
Mirabela
Miranda
Mirela
Mirona
Miuța
Miruna
Mona
Monalisa
Monica
Nadia
Naomi
Nadejda
Narcisa
Natalia
Natașa
Nectaria
Nelly
Nicoleta
Niculina
Nidia
Nina
Noemi
Nora
Norica
Oana
Octavia
Octaviana
Ofelia
Olga
Olimpia
Olivia
Ortansa
Otilia
Ozana
Pamela
Paraschiva
Patricia
Paula
Paulica
Paulina
Pelaghia
Petria
Petrina
Petronela
Petruța
Polixenia
Pompilia
Profira
Pulcheria
Rada
Rafila
Raluca
Ramona
Rebeca
Reghina
Renata
Rica
Rita
Roberta
Robertina
Rodica
Romana
Romanița
Romina
Roxana
Roxelana
Roza
Rozalia
Ruxanda
Ruxandra
Sabina
Sabrina
Safina
Safta
Salomea
Sanda
Sandra
Sarmisa
Sarmiza
Saveta
Savina
Săndica
Sânziana
Selina
Semenica
Smeralda
Serafina
Severina
Sidonia
Silvana
Silvia
Silviana
Simina
Simona
Smaranda
Sodica
Sofia
Sofica
Sonia
Sorana
Sorina
Speranța
Stana
Stanca
Stela
Steliana
Steluța
Susana
Suzana
Svetlana
Ștefana
Ștefania
Tamara
Tania
Tatiana
Teea
Teodora
Teodosia
Teona
Teresa
Tereza
Tiberia
Timea
Tinca
Tincuța
Tudora
Tudorica
Tudorița
Tudosia
Valentina
Valeria
Vanesa
Vanda
Varvara
Vasilica
Vasilichia
Venera
Venețiana
Vera
Veronica
Veta
Vicenția
Victoria
Violeta
Viorela
Viorica
Virginia
Viviana
Vlădelina
Voichița
Xenia
Zamfira
Zaraza
Zenaida
Zenobia
Zenovia
Zina
Zita
Zoe
Masculine
Abel
Achim
Adam
Adelin
Adi
Adonis
Adrian
Agnos
Albert
Aleodor
Alex
Alexandru
Alexe
Alin
Alistar
Amedeu
Amza
Anatol
Anatolie
Andrei
Andrian
Angel
Anghel
Antim
Anton
Antonie
Antoniu
Arcadian
Arian
Aristide
Aristotel
Arsenie
Atanasio
Augustin
Aurel
Aurelian
Aurică
Avram
Axinte
Barbu
Bartolomeu
Basarab
Bazil
Bănel
Bebe
Beniamin
Benone
Bernard
Bogdan
Bonifaciu
Brăduț
Bucur
Caius
Calistrat
Camil
Cantemir
Carol
Casian
Cazimir
Călin
Cătălin
Cecil
Cedrin
Cezar
Chiril
Ciprian
Claudiu
Codin
Codrin
Codruț
Conrad
Constantin
Cornel
Corneliu
Corvin
Cosmin
Costache
Costică
Costel
Costin
Crin
Cristea
Cristian
Christian
Cristinel
Cristobal
Cristofor
Dacian
Damian
Dan
Daniel
Darius
David
Decebal
Dimitrie
Denis
Dinu
Dionisie
Dominic
Dorel
Dorian
Dorin
Dorinel
Doru
Dragomir
Dragoș
Ducu
Dumitru
Edgar
Edmond
Eduard
Eftimie
Emanoil
Emanuel
Emanuil
Emil
Emilian
Eracle
Eremia
Eric
Ernest
Eudoxiu
Eufrațiu
Eugen
Eusebiu
Eustațiu
Fabian
Faust
Felix
Filip
Fiodor
Flaviu
Florea
Florentin
Florian
Florin
Francisc
Gabriel
Gelu
George
Georgel
Georgian
Ghenadie
Gheorghe
Gheorghiță
Gherasim
Ghiță
Gică
Gicu
Giorgian
Grațian
Gregorian
Grigoraș
Grigore
Gruia
Haralamb
Haralambie
Horațiu
Horea
Horia
Horică
Huberțiu
Iacob
Iacov
Iancu
Ianis
Ieremia
Igor
Ilarie
Ilarion
Ilie
Iliuță
Inocențiu
Inochentie
Ioan
Ion
Ionel
Ionică
Ioniță
Ionuț
Iorgu
Iosif
Irinel
Isidor
Iulian
Iuliu
Iurie
Iustin
Iustinian
Ivan
Jan
Jean
Jenel
Ladislau
Lascăr
Laurențiu
Laurian
Lazăr
Leon
Leonard@
Leonid
Leonidas
Leontin
Leordean
Lică
Liviu
Lorin
Luca
Lucențiu
Lucian
Lucrețiu
Ludovic
Manole
Marcel
Marcu
Marian
Marin
Marinel
Marius
Martin
Matei
Mauriciu@
Maxim
Maximilian
Mădălin
Mărin
Metodiu
Mihai
Mihail
Mihăiță
Mihnea
Mina
Mircea
Miron
Mitică
Mitrofan
Mitruț
Modest
Moise
Mugur
Mugurel
Nae
Narcis
Nechifor
Nectarie
Nelu
Nestor
Nichifor
Nicoară
Nicodim
Nicolae
Nicolaie
Nicu
Niculiță
Nicușor
Nicuță
Norbert
Noris
Norman
Octav
Octavian
Octaviu
Olimpian
Olimpiu
Oliver
Oliviu
Osvald
Ovidiu
Pamfil
Panagachie
Panait
Pantelimon
Paul
Pavel
Pătru
Petre
Petrică
Petrișor
Petru
Petruț
Pintiliu
Pleșu
Pompiliu
Profiriu
Radu
Rafael
Rareș
Raul
Răducu
Răzvan
Relu
Remus
Robert
Romeo
Romi
Romică
Romulus
Sabin
Sandu
Sava
Sebastian
Septimiu
Sergiu
Sever
Severin
Silvian
Silviu
Simi
Simion
Sinică
Sorin
Stan
Stancu
Stanislav
Stavrache
Stelian
Șerban
Ștefan
Tadeu
Teodor
Teofil
Teohari
Theodor
Tiberiu
Timotei
Titus
Todor
Toma
Traian
Trandafir
Tudor
Valentin
Valer
Valeriu
Valter
Vasile
Vasilică
Veaceslav
Veniamin
Vicențiu
Victor
Vincențiu
Viorel
Visarion
Virgil
Vitalie
Vitold
Vlad
Vladimir
Vlaicu
Voicu
Zamfir
Zeno
Zenobie
Zaharia
