Numele de familie
Popescu
Popa
Pop
Radu
Ionescu
Stan
Rusu
Stoica
Stanciu
Mihai
Munteanu
Matei
Marin
Gheorghe
Lungu
Lupu
Dumitru
Florea
Constantin
Anghel
Toma
Ciobanu
Ilie
Cristea
Moldovan
Ungureanu
Dinu
Mureșan
Vlad
Ion
Șerban
Mocanu
Oprea
Sandu
Dumitrescu
Vasile
Lazăr
Cojocaru
Voicu
Dragomir
Rus
Tudor
Neagu
Georgescu
Ștefan
Constantinescu
Luca
Iancu
Badea
Enache
Iordache
Barbu
Grigore
Filip
Andrei
Marinescu
Simion
Roman
Ene
Ardelean
Manea
Stoian
Zaharia
Avram
Diaconu
Preda
David
Ivan
Petre
Dobre
Pavel
Nistor
Ioniă
Nagy
Costea
Coman
Lazar
Olteanu
Petrescu
Iacob
Popovici
Bogdan
Crișan
Olaru
Marcu
Nedelcu
Nicolae
Kovacs
Bucur
Albu
Crăciun
Alexandru
Szabo
Stancu
Stănescu
Dan
Suciu
Dima
Mihalache
Rădulescu
Rotaru
Soare
Moraru
Miron
Petcu
Damian
Sima
Drăgan
Marian
Dumitrache
Muntean
Drăghici
Ștefănescu
Chiriac
Paraschiv
Nica
Teodorescu
Serban
Anton
Cosma
Danciu
Mihalcea
Roșca
Vasilescu
Bălan
Groza
Iliescu
Sava
Toader
Baciu
Roșu
Negru
Tanase
Varga
Costache
Apostol
Florescu
Istrate
Zamfir
Molnar
Necula
Pîrvu
Stroe
Croitoru
Pascu
Călin
Moldoveanu
Păun
Pintea
Ghiă
Moise
Sîrbu
Ursu
Dincă
Dogaru
Grecu
Tănase
Cozma
Niculescu
Diaconescu
Micu
Neacșu
Gal
Gheorghiu
Mateescu
Militaru
Stefan
Morar
Bratu
Balan
Trandafir
Iosif
Savu
Tomescu
Burlacu
Costin
Silaghi
Voinea
Gabor
Man
Niă
Gavrilă
Macovei
Muresan
Chirilă
Mușat
Oancea
Adam
Grosu
Manolache
Negrea
Oltean
Tudose
Creu
Grigorescu
Oros
Prodan
Antal
Ciocan
Cornea
Maxim
Nitu
Pană
Neacsu
Blaga
Balint
Farcaș
Jianu
Ignat
Puiu
Panait
Gherman
Peter
Codreanu
Dobrescu
Negoiă
Tudorache
Irimia
Rosu
Achim
Craciun
Dănilă
Mircea
Vasiliu
Bota
Filimon
Leonte
Stanescu
Ungur
Manole
Simon
Banu
Bejan
Chiș
Mirea
Ioan
Sabou
Tamas
Buda
Iorga
Cazacu
Dumitrașcu
Petrea
Predescu
Sabău
Turcu
Deaconu
Dicu
Mihăilă
Nita
Văduva
Cretu
Ispas
Toth
Udrea
Chira
Kiss
Mihăilescu
Năstase
Pușcaș
Vasilache
Chivu
Gavrila
Ichim
Mazilu
Milea
Nicolescu
Pintilie
Buzatu
Calin
Ciurea
Epure
Giurgiu
Grama
Sandor
Sârbu
Dascălu
Mărginean
Moga
Opriș
Andreescu
Antonescu
Ardeleanu
Niu
Pătrașcu
Staicu
Trif
Vișan
Biro
Dragu
Ilea
Pal
Mitu
Nicoara
Olariu
Patrascu
Bădescu
Cazan
Chiriă
Chis
Cristescu
Dobrin
Ghinea
Nastase
Niculae
Stanca
Tătaru
Ganea
Miu
Pasca
Savin
Alexe
Balogh
Chirita
Cucu
Ionașcu
Iordan
Jurca
Oprescu
Păunescu
Alexa
Boboc
